release_year,profit
1915,5510027.0
1916,7800000.0
1918,7750000.0
1921,2250000.0
1922,-699800.0
1924,78226.0
1925,3338500.0
1926,394211.5
1927,-45712462.0
1928,662000.0
1929,3979000.0
1930,4050000.0
1931,1163094.5
1932,1894000.0
1933,2312500.0
1934,1196592.0
1935,1608500.0
1936,1536000.0
1937,183437063.0
1938,2000000.0
1939,4507000.0
1940,9000000.0
1941,4073500.0
1942,6725250.0
1943,644741.5
1944,1572738.0
1945,5500000.0
1946,17975000.0
1947,5800000.0
1948,503500.0
1949,6800000.0
1950,1586000.0
1951,6200000.0
1952,5964600.0
1953,10500000.0
1954,8690000.0
1955,2657000.0
1956,7875000.0
1957,1918000.0
1958,4910000.0
1959,15708076.0
1960,7624500.0
1961,5420000.0
1962,9189923.0
1963,8324000.0
1964,8320136.0
1965,14400000.0
1966,8000000.0
1967,29744718.0
1968,5924000.0
1969,11839389.0
1970,15999718.0
1971,9861952.5
1972,21900000.0
1973,16700598.0
1974,34542841.0
1975,11585862.5
1976,27397887.5
1977,22457329.0
1978,20132444.0
1979,24562324.0
1980,11398118.0
1981,17626709.0
1982,17159423.0
1983,16993596.0
1984,12400657.0
1985,7945171.0
1986,3108399.0
1987,14857814.0
1988,6479298.0
1989,15471120.0
1990,12839030.0
1991,5312377.0
1992,14658394.0
1993,7609396.0
1994,3879242.0
1995,8058317.0
1996,7897824.5
1997,11059734.5
1998,9460020.0
1999,9133087.0
2000,14085477.0
2001,12109463.5
2002,13664004.0
2003,29924604.0
2004,12563918.0
2005,11850859.5
2006,9401952.0
2007,15313044.5
2008,11174377.0
2009,11292130.5
2010,11693322.0
2011,14181149.0
2012,10637469.0
2013,19327201.0
2014,17595493.0
2015,22317131.0
2016,10848716.0
2017,40536131.5
